name;universitaet;fehlend;nur_auto_befuellt;uni_suche;google
Siegfried Krainer;TU Wien;Werdegang/CV, Profil-Link, Kurzbeschreibung, Herkunftsinstitution, Herkunftsland, Institut, OpenAlex-Metriken;;https://www.tuwien.at/suche?tx_solr[q]=Siegfried%20Krainer;https://www.google.com/search?q=Siegfried%20Krainer+TU%20Wien+Professur
Aleksandar Acev;mdw;Werdegang/CV, Profil-Link, Kurzbeschreibung, Herkunftsinstitution, Herkunftsland, Institut, OpenAlex-Metriken;;https://www.mdw.ac.at/suche/?q=Aleksandar%20Acev;https://www.google.com/search?q=Aleksandar%20Acev+mdw+Professur
Alex Hofmann;mdw;Werdegang/CV, Profil-Link, Kurzbeschreibung, Herkunftsinstitution, Herkunftsland, Institut, OpenAlex-Metriken;;https://www.mdw.ac.at/suche/?q=Alex%20Hofmann;https://www.google.com/search?q=Alex%20Hofmann+mdw+Professur
Alexander Mayr;mdw;Werdegang/CV, Profil-Link, Kurzbeschreibung, Herkunftsinstitution, Herkunftsland, Institut, OpenAlex-Metriken;;https://www.mdw.ac.at/suche/?q=Alexander%20Mayr;https://www.google.com/search?q=Alexander%20Mayr+mdw+Professur
Amandine Savary;mdw;Werdegang/CV, Profil-Link, Kurzbeschreibung, Herkunftsinstitution, Herkunftsland, Institut, OpenAlex-Metriken;;https://www.mdw.ac.at/suche/?q=Amandine%20Savary;https://www.google.com/search?q=Amandine%20Savary+mdw+Professur
Andrea Glauser;mdw;Werdegang/CV, Profil-Link, Kurzbeschreibung, Herkunftsinstitution, Herkunftsland, Institut, OpenAlex-Metriken;;https://www.mdw.ac.at/suche/?q=Andrea%20Glauser;https://www.google.com/search?q=Andrea%20Glauser+mdw+Professur
Andrés Orozco-Estrada;mdw;Werdegang/CV, Profil-Link, Kurzbeschreibung, Herkunftsinstitution, Herkunftsland, Institut, OpenAlex-Metriken;;https://www.mdw.ac.at/suche/?q=Andr%C3%A9s%20Orozco-Estrada;https://www.google.com/search?q=Andr%C3%A9s%20Orozco-Estrada+mdw+Professur
Angelika Kirchschlager;mdw;Werdegang/CV, Profil-Link, Kurzbeschreibung, Herkunftsinstitution, Herkunftsland, Institut, OpenAlex-Metriken;;https://www.mdw.ac.at/suche/?q=Angelika%20Kirchschlager;https://www.google.com/search?q=Angelika%20Kirchschlager+mdw+Professur
Anja Thiemann;mdw;Werdegang/CV, Profil-Link, Kurzbeschreibung, Herkunftsinstitution, Herkunftsland, Institut, OpenAlex-Metriken;;https://www.mdw.ac.at/suche/?q=Anja%20Thiemann;https://www.google.com/search?q=Anja%20Thiemann+mdw+Professur
Axel Petri-Preis;mdw;Werdegang/CV, Profil-Link, Kurzbeschreibung, Herkunftsinstitution, Herkunftsland, Institut, OpenAlex-Metriken;;https://www.mdw.ac.at/suche/?q=Axel%20Petri-Preis;https://www.google.com/search?q=Axel%20Petri-Preis+mdw+Professur
