typ	fakultaet	widmung	name	jahr
TT	Evangelisch-Theologische Fakultät	Kirchengeschichte (Reformations- und Protestantismusgeschichte)	Philipp Pilhofer	2024
TT	Evangelisch-Theologische Fakultät	Medizinethik und Diakoniewissenschaft	Tabea Laura Aimée Ott	2026
UP	Evangelisch-Theologische Fakultät	Reformierte Theologie (Systematische Theologie: Helvetisches Bekenntnis)	Peter Schüz	2026
UP	Evangelisch-Theologische Fakultät und Zentrum für Lehrer*innenbildung	Religionspädagogik	Susanne Schwarz	2025
TT	Fakultät für Chemie	Analytische Chemie	Evelyn Rampler	2024
UP	Fakultät für Chemie	Analytische Lebensmittelchemie und Lebensmittelentwicklung	Marc Pignitter	2024
UP	Fakultät für Chemie	Anorganische Chemie	Elisa Tomat	2025
TT	Fakultät für Chemie	Applied Materials Chemistry	Robert Woodward	2020
UP	Fakultät für Chemie	Chemical Bioinformatics Network Analysis	Jürgen Zanghellini	2020
UP	Fakultät für Chemie	Computational Mass Spectrometry	Robert Ahrends	2023
TT	Fakultät für Chemie	Data Science in Mass Spectrometry-Based Omics	Dominik Kopczynski	2025
UP	Fakultät für Chemie	Didaktik der Chemie	Elisabeth Hofer	2025
UP	Fakultät für Chemie	Exposomforschung	Benedikt Warth	2025
UP	Fakultät für Chemie	Microbial Biochemistry	Thomas Böttcher	2020
TT	Fakultät für Chemie	Nukleinsäurechemie	Jory Lietard	2024
UP	Fakultät für Chemie	Organische Chemie	Davide Bonifazi	2020
TT	Fakultät für Chemie	Organische Chemie	Javier Mateos	2024
UP	Fakultät für Chemie	Peptide und Proteine in der Biomedizin	Markus Muttenthaler	2025
TT	Fakultät für Chemie	Physical Chemistry	Jia Min Chin	2019
TT	Fakultät für Chemie	Radiochemie	Thomas Mindt	2020
UP	Fakultät für Chemie	Theoretische Chemie	Christian Schröder	2022
TT	Fakultät für Chemie	Toxikologie	Giorgia Del Favero	2022
TT	Fakultät für Chemie	Translationale Präzisionsanalytik in der individualisierten Medizin	Samuel Matthias Meier-Menches	2021
UP	Fakultät für Chemie und Zentrum für Mikrobiologie und Umweltsystemwissenschaft	Humane Mikrobiomforschung	David Berry	2022
UP	Fakultät für Geowissenschaften, Geographie und Astronomie	Cartography and Geoinformation Science	Krzysztof Janowicz	2022
UP	Fakultät für Geowissenschaften, Geographie und Astronomie	Climate Science	Aiko Voigt	2021
TT	Fakultät für Geowissenschaften, Geographie und Astronomie	Data Science Pathways to Galaxy Evolution	Anne Hutter	2025
TT	Fakultät für Geowissenschaften, Geographie und Astronomie	Digital Geography	Ourania Kounadi	2020
TT	Fakultät für Geowissenschaften, Geographie und Astronomie	Earth System Sciences	Brennan O'Connell	2026
TT	Fakultät für Geowissenschaften, Geographie und Astronomie	Environmental Geophysics	Chi Zhang	2021
TT	Fakultät für Geowissenschaften, Geographie und Astronomie	Environmental Mineralogy	Laura Otter	2026
TT	Fakultät für Geowissenschaften, Geographie und Astronomie	Exoplanetary Atmospheres	Sudeshna Boro Saikia	2022
UP	Fakultät für Geowissenschaften, Geographie und Astronomie	General Meteorology	Andreas Stohl	2020
TT	Fakultät für Geowissenschaften, Geographie und Astronomie	Geobiology	Theresa Nohl	2023
TT	Fakultät für Geowissenschaften, Geographie und Astronomie	Geohazards in the Human-Environment System	Ugur Öztürk	2025
TT	Fakultät für Geowissenschaften, Geographie und Astronomie	Interstellar Medium Astrophysics	Avaro Gonzalez Hacar	2020
TT	Fakultät für Geowissenschaften, Geographie und Astronomie	Solar System Evolution	Kristina Kislyakova	2024
UP	Fakultät für Geowissenschaften, Geographie und Astronomie	Spatial Research and Spatial Planning	Meike Levin-Keitel	2024
UP	Fakultät für Geowissenschaften, Geographie und Astronomie	Theoretical Meteorology	Martin Weißmann	2020
UP	Fakultät für Geowissenschaften, Geographie und Astronomie	Urban Studies	Kerstin Krellenberg	2020
UP	Fakultät für Geowissenschaften, Geographie und Astronomie und Fakultät für Mathematik	Data Science in Astrophysics	Oliver Hahn	2020
TT	Fakultät für Informatik	Algorithms	Gramoz Goranci	2023
TT	Fakultät für Informatik	Algorithms for Scalable AI	Yllka Velaj	2022
