name;year;art_berufung;forschungsbereich;gleiche_person_in_hr_liste;quelle
Birgit Englert;2019;§99(4);Philologisch-Kulturwissenschaftlichen Fakultät;;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/assoz-prof-mag-dr-birgit-englert/
Christian Griebler;2019;§98;Limnologie;;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/univ-prof-dr-christian-griebler/
Christine Riegel;2019;§98;Sozialpädagogik;;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/univ-prof-dr-christine-riegel/
Clemens Jobst;2019;;Wirtschafts- und Sozialgeschichte mit besonderer Berücksichtigung der Geschichte der Weltwirtschaft im 19./20. Jahrhundert;;https://medienportal.univie.ac.at/uniview/professuren/neue-professuren/artikel/neue-professur-im-mai-2019/
Elke Heiß;2019;§99(4);Department für Pharmakognosie der Fakultät für Lebenswissenschaften;;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/assoz-prof-dipl-biochem-dr-elke-heiss-privatdoz/
Elton Prifti;2019;§98;Romanische Sprachwissenschaft: Interkulturalität und Mehrsprachigkeit;;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/univ-prof-dr-phil-mag-elton-prifti/
Farsam Salimi;2019;;Strafrecht;2025;https://medienportal.univie.ac.at/uniview/professuren/neue-professuren/artikel/neue-professur-im-april-2019/
Frank Scharnowski;2019;§98;Methoden der Psychologie;;https://psychologie.univie.ac.at/news-medienbeitraege/news-fakultaet/details/news/neuer-professor-1/
Glenn van de Ven;2019;§98;Theoretische extragalaktische Astrophysik;;https://ucrisportal.univie.ac.at/de/persons/glenn-van-de-ven/
Johannes Reitinger;2019;§98;Schulpädagogik;;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/univ-prof-dr-philhabil-johannes-reitinger/
Jürgen Scharhag;2019;§98;Sport- und Leistungsphysiologie;;https://institut-schmelz.univie.ac.at/abteilungen/sportmedizin-leistungsphysiologie-und-praevention/team/
Kerstin von Lingen;2019;§98;Zeitgeschichte (vergleichende Diktatur-, Gewalt- und Genozidforschung);;https://zeitgeschichte.univie.ac.at/ueber-uns/wissenschaftliche-mitarbeiterinnen/kerstin-von-lingen/
Martina Zemp;2019;§98;Klinische Psychologie des Kindes- und Jugendalters;;https://kpkj-psy.univie.ac.at/
Michael Lysander Fremuth;2019;§98;Grund- und Menschenrechte;2022;https://de.wikipedia.org/wiki/Michael_Lysander_Fremuth
Miranda Jakiša;2019;§98;Südslawische Literatur- und Kulturwissenschaften (mit philologischem Schwerpunkt);;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/univ-prof-mag-dr-miranda-jakisa/
Moritz Grosse-Wentrup;2019;§98;Neuroinformatik;;https://informatik.univie.ac.at/en/person/unitid/81/moritz-grosse-wentrup
Philipp Grohs;2019;§98;Mathematical foundations of deep learning;;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/univ-prof-dr-philipp-grohs/
Tijo Salverda;2019;§98;Kultur- und Sozialanthropologie des globalen Südens;;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/univ-prof-dr-tijo-salverda/
Wolfgang Lutz;2019;§98;Demografie;;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/univ-prof-mag-dr-wolfgang-lutz/
Yavuz Köse;2019;§98;Turkologie;;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/univ-prof-mag-dr-yavuz-koese/
Zekirija Sejdini;2019;§98;Islam in der Gegenwartsgesellschaft;2025;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/univ-prof-mag-dr-zekirija-sejdini/
Anatole von Lilienfeld;2020;§98;Computational Material Discovery;;https://physik.univie.ac.at/news/news-detailansicht/news/prof-anatole-von-lilienfeld-joins-the-faculty-of-physics/
Franziska Felder;2020;§98;Inklusive Pädagogik und Behinderungsforschung;;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/univ-prof-dr-franziska-felder/
Lars Bülow;2020;§98;Germanistische Linguistik;;https://www.germ.univie.ac.at/lars-buelow/
Magdalena Nieslony;2020;§98;Globale Gegenwartskunst;;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/univ-prof-dr-Magdalena-Nieslony/
Monika De Frantz;2020;§98;Politische Soziologie;;https://www.univie.ac.at/en/research/research-overview/neue-professuren-ab-2020/detailansicht-en/artikel/univ-prof-monika-de-frantz-phd/
Rhoia Neidenbach;2020;§98;Versorgungsforschung in der Sportwissenschaft;;https://medienportal.univie.ac.at/uniview/professuren/cv/artikel/Univ-Prof-Dr-phil-Rhoia-Neidenbach/
Barbara Lieder;2021;§98;Biomolekulare und Integrative Physiologie;;https://www.univie.ac.at/fileadmin/user_upload/univie/dokumente/Leistungsberichte_Entwicklungsplaene/Leistungsbericht_2021.pdf
Ferenc Vincze;2021;§99(1);Ungarische Literatur im europäischen Kontext;;https://www.univie.ac.at/fileadmin/user_upload/univie/dokumente/Leistungsberichte_Entwicklungsplaene/Leistungsbericht_2021.pdf
